original_path	final_path	original_bytes	final_bytes	original_sha256	final_sha256	content_changed
index.html	site/index.html	695983	734123	f5bff31d2ab52762acbfab02b137f3d4e766bf68f96cc2bba9d930cd23367030	39c9ef1236b8dea0b65112f1db8267f5855ad9e16b3477cce82413b7723230e1	YES
header.css	site/assets/css/header.css	23894	23894	8c15307b89e4551122c98e0fcebe52ef94f03bdb65289417f7f7f4ac3af9169f	8c15307b89e4551122c98e0fcebe52ef94f03bdb65289417f7f7f4ac3af9169f	NO
banner.css	site/assets/css/banner.css	51693	51693	cdd8f8df5f4c46381c458633b6cdea1ccf884f5a554fbf5b9c50a79c47c324cc	cdd8f8df5f4c46381c458633b6cdea1ccf884f5a554fbf5b9c50a79c47c324cc	NO
body.css	site/assets/css/body.css	4244	4244	1a6e653878779f7ff19d7929d2a35cd4f1514b40c92321e773e146801977444f	1a6e653878779f7ff19d7929d2a35cd4f1514b40c92321e773e146801977444f	NO
trending.css	site/assets/css/trending.css	95429	95429	3052b4c3263adf38f3b3e1dcebd168095b0f55a3affd41f026b561596c996eb6	3052b4c3263adf38f3b3e1dcebd168095b0f55a3affd41f026b561596c996eb6	NO
chrono.css	site/assets/css/chrono.css	19256	19256	37b67930e7dc803c482a8681162da52b26bbe45944e24dd4bf2fc9099371f1dc	37b67930e7dc803c482a8681162da52b26bbe45944e24dd4bf2fc9099371f1dc	NO
footer.css	site/assets/css/footer.css	36370	36370	51316da028416928f61993032abbf5dcaa28e7e3c6d9ad01c5d32893da19a94c	51316da028416928f61993032abbf5dcaa28e7e3c6d9ad01c5d32893da19a94c	NO
hot-news-new.css	site/assets/css/hot-news-new.css	16166	16166	58f786a5f5897fb083a3650510ab1a51140f82296a024593ad29cbf7167870ea	58f786a5f5897fb083a3650510ab1a51140f82296a024593ad29cbf7167870ea	NO
com.css	site/assets/css/com.css	187224	187224	6d5e300eec70ee8932a9ba28be2c5527413efc11f92a9266bf48f2fda782a358	6d5e300eec70ee8932a9ba28be2c5527413efc11f92a9266bf48f2fda782a358	NO
main.css	site/assets/css/main.css	333905	333905	e25806f094a7b93999f39bbb8c5d830df920fc460302913221c6e859005a282b	e25806f094a7b93999f39bbb8c5d830df920fc460302913221c6e859005a282b	NO
UPC.css	site/assets/css/UPC.css	75570	75570	9583186d5ea804168776d2522c72eb2418cd7660144157cffb95ebe04596cb3e	9583186d5ea804168776d2522c72eb2418cd7660144157cffb95ebe04596cb3e	NO
hot-news-new.js	site/assets/js/hot-news-new.js	9801	9801	f03a2b5c2d8bb650308ae3a1999c3aabbbe09dc05e648f2768acff03d9989713	f03a2b5c2d8bb650308ae3a1999c3aabbbe09dc05e648f2768acff03d9989713	NO
banner.js	site/assets/js/banner.js	2546	2546	060e34777abdb1cdbc3cbddb4ba5cbe35e4f77a5140ed3eaf98aaa60f24283d2	060e34777abdb1cdbc3cbddb4ba5cbe35e4f77a5140ed3eaf98aaa60f24283d2	NO
card.js	site/assets/js/card.js	5603	5603	e827bb36d23058dbcaa85adff401ba03dc68d336bc11a6db36f384ef643e6872	e827bb36d23058dbcaa85adff401ba03dc68d336bc11a6db36f384ef643e6872	NO
header.js	site/assets/js/header.js	6309	6309	d2e76314f33c9ed6bc13d2892b1e907e74b7fc3fc00d73d3ace0b74897121ed2	d2e76314f33c9ed6bc13d2892b1e907e74b7fc3fc00d73d3ace0b74897121ed2	NO
trending.js	site/assets/js/trending.js	56193	56193	47df9f7a5357c7184edf9c45f1d2bfb60eb5025e8440aad73026f9977f49297e	47df9f7a5357c7184edf9c45f1d2bfb60eb5025e8440aad73026f9977f49297e	NO
footer.js	site/assets/js/footer.js	8211	8211	2f25ea7dace0ea2228f76f9bf14696f148999c8ad998d08172d957685069d25a	2f25ea7dace0ea2228f76f9bf14696f148999c8ad998d08172d957685069d25a	NO
chrono.js	site/assets/js/chrono.js	9653	9653	d8cd1002b033ef3ea3f6750a0659808fe19901d9cc9b367288481a2f14a3f54c	d8cd1002b033ef3ea3f6750a0659808fe19901d9cc9b367288481a2f14a3f54c	NO
main.js	site/assets/js/main.js	104842	102075	3254652e0e4e1b77cfd7562f4ecc7918327fae609fa49dcca2f14521cde709f5	ea7291dadd655079aea509697f355f4e8ad99cd7b6ecebbf16796c0bfe75f708	YES
UPC.js	site/assets/js/UPC.js	28640	27940	e0daa825d2045e94edf41cdd0153b7195e290571c487f5916832e21a85d5591d	e309a1d924d6812e3a9a01b9569e7d051c24bc395004a5b8c82f795d6ff650f8	YES
com.js	site/assets/js/com.js	16514	16854	6fc829a0a40f4cf3247506994bd0fec3fb28aedd9d9ebcc68e5c619134e59403	f686738f62d2929dccf96b2d7106bb9d715e30cc26761d27ac006564277fc776	YES
sitemap.xml	site/sitemap.xml	204	204	d4ce19318b76047967bd0771c10aa78c20ca434b764e49011d01b67284145f2d	d4ce19318b76047967bd0771c10aa78c20ca434b764e49011d01b67284145f2d	NO
