file	selector	context	property	value
src/css/main/10-responsive-final.css	.share-banner-container:not(#__av_prio_a#__av_prio_b#__av_prio_c#__av_prio_d#__av_prio_e#__av_prio_f#__av_prio_g#__av_prio_h)		overflow	visible
src/css/main/10-responsive-final.css	.share-banner-container:not(#__av_prio_a#__av_prio_b#__av_prio_c#__av_prio_d#__av_prio_e#__av_prio_f#__av_prio_g#__av_prio_h)::before		border-bottom	0
src/css/main/10-responsive-final.css	.share-banner-container:not(#__av_prio_a#__av_prio_b#__av_prio_c#__av_prio_d#__av_prio_e#__av_prio_f#__av_prio_g#__av_prio_h)		border-bottom	0
src/css/main/10-responsive-final.css	.share-banner-container:not(#__av_prio_a#__av_prio_b#__av_prio_c#__av_prio_d#__av_prio_e#__av_prio_f#__av_prio_g#__av_prio_h)		background-image	none
src/css/main/10-responsive-final.css	.share-banner-container:not(#__av_prio_a#__av_prio_b#__av_prio_c#__av_prio_d#__av_prio_e#__av_prio_f#__av_prio_g#__av_prio_h)		background-color	var(--avf-surface-top, #071b21)
src/css/main/10-responsive-final.css	.share-banner-container:not(#__av_prio_a#__av_prio_b#__av_prio_c#__av_prio_d#__av_prio_e#__av_prio_f#__av_prio_g#__av_prio_h)		background	var(--avf-surface-top, #071b21)
src/css/main/09-top-suggestions.css	.av-news-led-line	@media (prefers-reduced-motion: reduce)	--av-news-led-angle	72deg
src/css/main/09-top-suggestions.css	.av-news-led-line	@media (prefers-reduced-motion: reduce)	animation-delay	0s
src/css/main/09-top-suggestions.css	.av-news-led-line	@media (prefers-reduced-motion: reduce)	animation	none
src/css/main/09-top-suggestions.css	.av-news-led-line		animation-delay	-2s
src/css/main/09-top-suggestions.css	.av-news-led-line		animation	avNewsLedGradientRun 8s linear infinite
src/css/main/09-top-suggestions.css	.av-news-led-line		offset-rotate	0deg
src/css/main/09-top-suggestions.css	.av-news-led-line		offset-distance	0
src/css/main/09-top-suggestions.css	.av-news-led-line		offset-path	none
src/css/main/09-top-suggestions.css	.av-news-led-line		box-shadow	none
src/css/main/09-top-suggestions.css	.av-news-led-line		background	"conic-gradient(
    from var(--av-news-led-angle),
    transparent 0deg 268deg,
    rgba(39, 164, 221, .02) 278deg,
    rgba(48, 194, 221, .08) 294deg,
    rgba(61, 216, 216, .18) 315deg,
    rgba(80, 232, 214, .34) 336deg,
    rgba(139, 255, 229, .68) 354deg,
    rgba(70, 218, 215, .12) 359deg,
    transparent 360deg
  )"
src/css/main/09-top-suggestions.css	.av-news-led-line		opacity	.78
src/css/main/09-top-suggestions.css	.av-news-led-line		border-radius	inherit
src/css/main/09-top-suggestions.css	.av-news-led-line		height	auto
src/css/main/09-top-suggestions.css	.av-news-led-line		width	auto
src/css/main/09-top-suggestions.css	.av-news-led-line		inset	0
src/css/main/09-top-suggestions.css	.av-news-led-track		border-radius	23px
src/css/main/09-top-suggestions.css	.av-news-led-track		inset	-3px
src/css/main/08-news-and-effects.css	.av-news-led-line	@media (prefers-reduced-motion: reduce)	--av-news-led-angle	72deg
