file	context	selector	property	old_value	final_value	old_rule	final_rule
src/css/banner/02-banner-layout.css		.page:not(#__av_prio_a#__av_prio_b)	background	radial-gradient(circle at 12% 20%, rgba(80, 190, 165, 0.13), transparent 26%),     radial-gradient(circle at 86% 78%, rgba(26, 110, 98, 0.18), transparent 30%),     radial-gradient(circle at 50% 10%, rgba(184, 146, 94, 0.06), transparent 32%),     #071b21	radial-gradient(circle at 16% 12%, rgba(88, 196, 175, 0.14), transparent 26%),     radial-gradient(circle at 84% 18%, rgba(212, 183, 122, 0.08), transparent 24%),     radial-gradient(circle at 50% 88%, rgba(75, 131, 125, 0.14), transparent 30%),     linear-gradient(180deg, rgba(5, 42, 46, 0.98), rgba(3, 29, 34, 0.99))	0	5
src/css/banner/02-banner-layout.css		.banner-wrap:not(#__av_prio_a#__av_prio_b)	padding	26px 0 28px	20px 18px 18px	9	42
src/css/banner/02-banner-layout.css		.banner-wrap:not(#__av_prio_a#__av_prio_b)	padding	20px 0 18px	20px 18px 18px	11	42
src/css/banner/02-banner-layout.css		.banner-wrap:not(#__av_prio_a#__av_prio_b)	width	min(1790px, calc(100% - 32px))	100%	11	42
src/css/banner/02-banner-layout.css		.banner-wrap:not(#__av_prio_a#__av_prio_b)	max-width	1790px	none	11	42
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	z-index	4	12	1	31
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	z-index	24	12	12	31
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	max-width	1920px	none	1	12
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	min-width	1808px	0	1	12
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	height	clamp(60px, 4.4vw, 84px)	90px	1	24
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	height	82px	90px	12	24
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin	-2px auto 0	18px auto -90px	1	40
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin	-1px auto -82px	18px auto -90px	12	40
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin	-1px auto -90px	18px auto -90px	24	40
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin	8px auto -90px	18px auto -90px	31	40
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	background	#071b21	var(--avf-surface-top, #071b21)	1	12
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)::before	inset	0	6px 0 0 0	13	25
src/css/banner/03-banner-transition.css	@media (max-width: 990px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	height	68px	76px	20	26
src/css/banner/03-banner-transition.css	@media (max-width: 990px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin-bottom	-68px	-76px	20	43
src/css/banner/03-banner-transition.css	@media (max-width: 620px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	height	54px	60px	21	27
src/css/banner/03-banner-transition.css	@media (max-width: 620px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin-bottom	-54px	-60px	21	46
src/css/banner/03-banner-transition.css	@media (max-width: 990px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin-top	6px	14px	33	43
src/css/banner/03-banner-transition.css	@media (max-width: 620px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin-top	4px	10px	34	46
src/css/banner/04-banner-color-merge.css		body .banner-wrap:not(#__av_prio_a#__av_prio_b)	padding-top	20px	92px	0	26
src/css/banner/04-banner-color-merge.css		body .banner-wrap:not(#__av_prio_a#__av_prio_b)	padding-top	28px	92px	8	26
src/css/banner/04-banner-color-merge.css		body .banner-slider:not(#__av_prio_a#__av_prio_b)	transform	translateY(-24px)	translateY(-10px)	1	9
src/css/banner/04-banner-color-merge.css		body .banner-slider:not(#__av_prio_a#__av_prio_b)	margin-bottom	-24px	-10px	1	9
src/css/banner/04-banner-color-merge.css	@media (max-width: 1279px)	body .banner-slider:not(#__av_prio_a#__av_prio_b)	transform	translateY(-18px)	translateY(-8px)	5	10
src/css/banner/04-banner-color-merge.css	@media (max-width: 1279px)	body .banner-slider:not(#__av_prio_a#__av_prio_b)	margin-bottom	-18px	-8px	5	10
src/css/banner/04-banner-color-merge.css	@media (max-width: 640px)	body .banner-slider:not(#__av_prio_a#__av_prio_b)	transform	translateY(-10px)	translateY(-4px)	6	12
src/css/banner/04-banner-color-merge.css	@media (max-width: 640px)	body .banner-slider:not(#__av_prio_a#__av_prio_b)	margin-bottom	-10px	-4px	6	12
src/css/banner/04-banner-color-merge.css	@media (max-width: 1279px)	body .banner-wrap:not(#__av_prio_a#__av_prio_b)	padding-top	24px	88px	11	27
src/css/banner/04-banner-color-merge.css	@media (max-width: 640px)	body .banner-wrap:not(#__av_prio_a#__av_prio_b)	padding-top	16px	82px	13	28
src/css/banner/04-banner-color-merge.css		body .banner-right:not(#__av_prio_a#__av_prio_b)	padding-top	52px	74px	14	20
src/css/banner/04-banner-color-merge.css		body .image-group:not(#__av_prio_a#__av_prio_b)	transform	translateY(26px)	translateY(54px)	15	21
src/css/banner/04-banner-color-merge.css	@media (max-width: 1279px)	body .banner-right:not(#__av_prio_a#__av_prio_b)	padding-top	40px	54px	16	22
src/css/banner/04-banner-color-merge.css	@media (max-width: 1279px)	body .image-group:not(#__av_prio_a#__av_prio_b)	transform	translateY(18px)	translateY(34px)	17	23
src/css/banner/04-banner-color-merge.css	@media (max-width: 640px)	body .banner-right:not(#__av_prio_a#__av_prio_b)	padding-top	26px	32px	18	24
