file	context	selector	property	old_value	final_value	old_rule	final_rule
src/css/banner/02-banner-layout.css		.banner-wrap:not(#__av_prio_a#__av_prio_b)	padding	26px 0 28px	20px 18px 18px	9	42
src/css/banner/02-banner-layout.css		.banner-wrap:not(#__av_prio_a#__av_prio_b)	padding	20px 0 18px	20px 18px 18px	11	42
src/css/banner/02-banner-layout.css		.banner-wrap:not(#__av_prio_a#__av_prio_b)	width	min(1790px, calc(100% - 32px))	100%	11	42
src/css/banner/02-banner-layout.css		.banner-wrap:not(#__av_prio_a#__av_prio_b)	max-width	1790px	none	11	42
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	max-width	1920px	none	1	11
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	min-width	1808px	0	1	11
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	height	clamp(60px, 4.4vw, 84px)	90px	1	22
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	height	82px	90px	11	22
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	z-index	24	12	11	29
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin	-1px auto -82px	18px auto -90px	11	38
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin	-1px auto -90px	18px auto -90px	22	38
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)::before	inset	0	6px 0 0 0	12	23
src/css/banner/04-banner-color-merge.css		body .banner-wrap:not(#__av_prio_a#__av_prio_b)	padding-top	20px	92px	0	26
src/css/banner/04-banner-color-merge.css		body .banner-wrap:not(#__av_prio_a#__av_prio_b)	padding-top	28px	92px	8	26
src/css/banner/04-banner-color-merge.css	@media (max-width: 1279px)	body .banner-slider:not(#__av_prio_a#__av_prio_b)	transform	translateY(-18px)	translateY(-8px)	5	10
src/css/banner/04-banner-color-merge.css	@media (max-width: 1279px)	body .banner-slider:not(#__av_prio_a#__av_prio_b)	margin-bottom	-18px	-8px	5	10
src/css/banner/04-banner-color-merge.css		body .banner-right:not(#__av_prio_a#__av_prio_b)	padding-top	52px	74px	14	20
src/css/banner/05-banner-final.css		body .page:not(#__av_prio_a#__av_prio_b)::after	top	calc(var(--av-equal-gap) * -1)	0	9	17
src/css/banner/05-banner-final.css		body .page:not(#__av_prio_a#__av_prio_b)::after	height	var(--av-equal-gap)	0	9	17
src/css/com/01-comments-core.css		.av10-card	grid-template-rows	70px minmax(0, 1fr) 50px	72px minmax(0, 1fr) 50px	26	94
src/css/com/02-comments-layout.css		.av10-card	grid-template-rows	62px minmax(0, 1fr) 46px	60px minmax(0, 1fr) 44px	5	59
src/css/com/02-comments-layout.css		.av10-card	padding	12px 14px 12px	14px	5	59
src/css/com/02-comments-layout.css		.av10-head	min-height	56px	0	6	60
src/css/com/02-comments-layout.css		.av10-message	grid-template-rows	52px minmax(0, 1fr)	62px minmax(0, 1fr)	13	29
src/css/com/02-comments-layout.css		.av10-footer	padding-top	6px	7px	20	39
src/css/com/02-comments-layout.css	@media (max-width: 1510px)	.av10-card	grid-template-rows	60px minmax(0, 1fr) 46px	58px minmax(0, 1fr) 44px	22	82
src/css/com/02-comments-layout.css		.av10-body	padding	13px 13px 12px	15px 13px 13px	37	72
src/css/com/02-comments-layout.css		.av10-footer	height	48px	44px	39	75
src/css/com/03-comments-refinement.css		.av10-card	height	430px	392px	2	78
src/css/com/03-comments-refinement.css		.av10-card	height	418px	392px	41	78
src/css/com/03-comments-refinement.css		.av10-card	height	402px	392px	69	78
src/css/com/03-comments-refinement.css		.av10-online	width	13px	10px	8	112
src/css/com/03-comments-refinement.css		.av10-online	height	13px	10px	8	112
src/css/com/03-comments-refinement.css		.av10-online	border-width	3px	2px	8	112
src/css/com/03-comments-refinement.css		.av10-name	font-size	15.6px	16.6px	10	119
src/css/com/03-comments-refinement.css		.av10-name	font-weight	840	850	10	119
src/css/com/03-comments-refinement.css		.av10-series	flex	0 0 72px	0 0 52px	13	60
src/css/com/03-comments-refinement.css		.av10-series	flex	0 0 58px	0 0 52px	44	60
src/css/com/03-comments-refinement.css		.av10-series	width	calc(100% - 14px)	calc(100% - 34px)	13	60
src/css/com/03-comments-refinement.css		.av10-series	width	calc(100% - 16px)	calc(100% - 34px)	44	60
src/css/com/03-comments-refinement.css		.av10-series	height	72px	52px	13	60
src/css/com/03-comments-refinement.css		.av10-series	height	58px	52px	44	60
src/css/com/03-comments-refinement.css		.av10-series	margin	7px 7px 0	8px auto 0	13	60
src/css/com/03-comments-refinement.css		.av10-series	margin	8px 8px 0	8px auto 0	44	60
