file	context	selector	property	old_value	final_value	old_rule	final_rule
src/css/banner/02-banner-layout.css		.page	isolation	isolate	isolate	4	41
src/css/banner/02-banner-layout.css		.banner-trending-join	z-index	2	3	47	55
src/css/banner/02-banner-layout.css		.banner-trending-join	height	clamp(52px, 3.75vw, 72px)	clamp(44px, 3.2vw, 60px)	47	55
src/css/banner/02-banner-layout.css		.banner-trending-join	margin	-1px auto 0	-14px auto -2px	47	55
src/css/banner/02-banner-layout.css		.banner-trending-join	overflow	hidden	visible	47	55
src/css/banner/02-banner-layout.css		.banner-trending-join	background	#071b21	transparent	47	55
src/css/banner/02-banner-layout.css		.banner-trending-join::before	inset	0	8px 0 0 0	48	56
src/css/banner/02-banner-layout.css		.banner-trending-join::before	opacity	.20	.17	48	56
src/css/banner/02-banner-layout.css		.banner-trending-join-gold	stroke-width	1.2	1.15	50	57
src/css/banner/02-banner-layout.css	@media (max-width: 760px)	.banner-trending-join	height	46px	40px	52	61
src/css/banner/03-banner-transition.css		.banner-trending-join::before	content	""	""	2	12
src/css/banner/03-banner-transition.css		.banner-trending-join::before	position	absolute	absolute	2	12
src/css/banner/03-banner-transition.css		.banner-trending-join::before	inset	28px 0 0 0	6px 0 0 0	2	23
src/css/banner/03-banner-transition.css		.banner-trending-join::before	z-index	1	2	2	12
src/css/banner/03-banner-transition.css		.banner-trending-join::before	opacity	.18	0.22	2	12
src/css/banner/03-banner-transition.css		.banner-trending-join::before	background-image	radial-gradient(circle at 8% 28%, rgba(225,252,255,.70) 0 1px, transparent 1.7px),     radial-gradient(circle at 22% 72%, rgba(180,244,255,.48) 0 1px, transparent 1.7px),     radial-gradient(circle at 37% 24%, rgba(230,255,255,.62) 0 1px, transparent 1.6px),     radial-gradient(circle at 51% 76%, rgba(176,242,255,.52) 0 1px, transparent 1.7px),     radial-gradient(circle at 67% 30%, rgba(235,255,255,.72) 0 1px, transparent 1.6px),     radial-gradient(circle at 82% 68%, rgba(185,245,255,.55) 0 1px, transparent 1.7px),     radial-gradient(circle at 95% 34%, rgba(230,255,255,.65) 0 1px, transparent 1.6px)	radial-gradient(circle at 7% 34%, rgba(225,252,255,.70) 0 1px, transparent 1.7px),       radial-gradient(circle at 21% 68%, rgba(180,244,255,.48) 0 1px, transparent 1.7px),       radial-gradient(circle at 36% 24%, rgba(230,255,255,.62) 0 1px, transparent 1.6px),       radial-gradient(circle at 51% 70%, rgba(176,242,255,.52) 0 1px, transparent 1.7px),       radial-gradient(circle at 66% 28%, rgba(235,255,255,.72) 0 1px, transparent 1.6px),       radial-gradient(circle at 81% 64%, rgba(185,245,255,.55) 0 1px, transparent 1.7px),       radial-gradient(circle at 94% 38%, rgba(230,255,255,.65) 0 1px, transparent 1.6px)	2	12
src/css/banner/03-banner-transition.css		.banner-trending-join::before	background-repeat	no-repeat	no-repeat	2	12
src/css/banner/03-banner-transition.css		.banner-trending-join svg	position	relative	relative	3	13
src/css/banner/03-banner-transition.css		.banner-trending-join svg	z-index	2	1	3	13
src/css/banner/03-banner-transition.css		.banner-trending-join svg	display	block	block	3	13
src/css/banner/03-banner-transition.css		.banner-trending-join svg	width	100%	100%	3	13
src/css/banner/03-banner-transition.css		.banner-trending-join svg	height	100%	100%	3	13
src/css/banner/03-banner-transition.css		.banner-trending-join-gold, .banner-trending-join-teal	fill	none	none	4	14
src/css/banner/03-banner-transition.css		.banner-trending-join-gold, .banner-trending-join-teal	vector-effect	non-scaling-stroke	non-scaling-stroke	4	14
src/css/banner/03-banner-transition.css		.banner-trending-join-gold, .banner-trending-join-teal	stroke-linecap	round	round	4	14
src/css/banner/03-banner-transition.css		.banner-trending-join-gold, .banner-trending-join-teal	stroke-linejoin	round	round	4	14
src/css/banner/03-banner-transition.css		.banner-trending-join-gold	stroke	url(#bannerTrendingGold)	rgba(209,180,106,.52)	5	15
src/css/banner/03-banner-transition.css		.banner-trending-join-gold	stroke-width	1.35	1.25	5	15
src/css/banner/03-banner-transition.css		.banner-trending-join-teal	stroke	url(#bannerTrendingTeal)	rgba(118,223,211,.46)	6	16
src/css/banner/03-banner-transition.css		.banner-trending-join-teal	stroke-width	1.2	1.05	6	16
src/css/com/01-comments-core.css		.av10-card	border-radius	27px 27px 27px 9px	24px	26	95
src/css/com/01-comments-core.css		.av10-avatar	border-radius	50%	50%	43	100
src/css/com/01-comments-core.css		.av10-avatar	font-size	11px	0	43	100
src/css/com/01-comments-core.css		.av10-avatar img	border-radius	inherit	50%	44	102
src/css/com/01-comments-core.css		.av10-reactions	border-radius	15px	14px	62	103
src/css/com/01-comments-core.css		.av10-reaction	border-radius	10px 10px 10px 6px	10px	63	104
src/css/com/02-comments-layout.css		.av10-reactions	border-radius	0	13px	40	77
src/css/com/02-comments-layout.css		.av10-reaction	border-radius	11px	9px	41	79
src/css/com/03-comments-refinement.css		.av10-series-arrow	display	flex	flex	101	107
src/css/com/03-comments-refinement.css		.av10-series-arrow	align-items	center	center	101	107
src/css/com/03-comments-refinement.css		.av10-series-arrow	justify-content	center	center	101	107
src/css/components/UPC.css		.carousel-collection .card.flipped .card-inner	transform	rotateY(180deg)	rotateY(180deg)	37	115
src/css/components/UPC.css		.carousel-collection .card-front, .carousel-collection .card-back	backface-visibility	hidden	hidden	38	117
src/css/components/UPC.css		.carousel-collection .card-front, .carousel-collection .card-back	-webkit-backface-visibility	hidden	hidden	38	117
src/css/components/UPC.css		.carousel-collection .card-back	transform	rotateY(180deg)	rotateY(180deg)	47	120
src/css/components/UPC.css		.carousel-collection .card-back-side	display	flex	none	49	77
src/css/components/UPC.css		.carousel-collection .card-back-meta-col	display	flex	flex	63	83
src/css/components/UPC.css		.carousel-collection .card-back	display	block	none	76	160
src/css/components/footer.css		.av-footer	margin-top	auto	0	0	176
src/css/components/footer.css		.av-footer	width	calc(100% - 16px)	100%	0	170
src/css/components/footer.css		.av-footer	max-width	1900px	none	0	170
src/css/components/footer.css		.av-footer	margin-left	auto	0	0	170
src/css/components/footer.css		.av-footer	margin-right	auto	0	0	170
src/css/components/footer.css		.avf-outline-word span	animation	none	none	4	127
src/css/components/footer.css	@media (max-width: 820px)	.av-footer	width	calc(100% - 24px)	100%	42	171
src/css/components/footer.css	@media (max-width: 820px)	.av-footer	max-width	1900px	none	42	171
src/css/components/footer.css		.avf-social-item	padding	9px 11px	0	67	106
src/css/components/footer.css		.avf-social-item	align-items	center	center	67	106
src/css/components/footer.css		.avf-social-item	gap	11px	10px	67	106
src/css/components/footer.css		.avf-social-item	border	1px solid rgba(121, 235, 255, 0.11)	0	67	106
src/css/components/footer.css		.avf-social-item	border-radius	14px	0	67	106
src/css/components/footer.css		.avf-social-item	background	linear-gradient(180deg, rgba(255,255,255,.028), rgba(255,255,255,.012)),     rgba(255,255,255,.012)	transparent	67	106
src/css/components/footer.css		.avf-social-item	color	inherit	#91b8bf	67	106
src/css/components/footer.css		.avf-social-item	box-shadow	inset 0 1px 0 rgba(255,255,255,.02)	none	67	106
src/css/components/footer.css		.avf-social-item:hover	background	linear-gradient(135deg, rgba(65,105,225,.10), rgba(44,181,171,.08)),     rgba(255,255,255,.018)	transparent	69	107
src/css/components/footer.css		.avf-social-item:hover	box-shadow	0 12px 26px rgba(0,0,0,.16)	none	69	107
src/css/components/footer.css		.avf-social-item-icon	width	38px	30px	71	195
src/css/components/footer.css		.avf-social-item-icon	height	38px	30px	71	195
src/css/components/footer.css		.avf-social-item-icon	flex	0 0 38px	0 0 27px	71	109
src/css/components/footer.css		.avf-social-item-icon	display	grid	grid	71	109
src/css/components/footer.css		.avf-social-item-icon	place-items	center	center	71	109
src/css/components/footer.css		.avf-social-item-icon	border	1px solid rgba(121,235,255,.18)	1px solid rgba(121,235,255,.13)	71	109
src/css/components/footer.css		.avf-social-item-icon	border-radius	50%	50%	71	109
src/css/components/footer.css		.avf-social-item-icon	color	#f7ffff	#9fdde3	71	109
src/css/components/footer.css		.avf-social-item-icon	font-size	15px	12px	71	109
src/css/components/footer.css		.avf-social-item-icon	background	radial-gradient(circle at 30% 25%, rgba(255,255,255,.14), transparent 34%),     linear-gradient(135deg, rgba(65,105,225,.86), rgba(44,181,171,.72))	rgba(255,255,255,.025)	71	109
src/css/components/footer.css		.avf-social-item-icon	box-shadow	inset 0 1px 0 rgba(255,255,255,.08),     0 7px 18px rgba(0,0,0,.18)	none	71	109
src/css/components/footer.css		.avf-social-item:hover .avf-social-item-icon	transform	scale(1.06)	none	72	110
src/css/components/footer.css		.avf-social-item-copy	display	flex	block	73	112
src/css/components/footer.css		.avf-social-item-copy b	color	#e9fcff	#91b8bf	74	114
src/css/components/footer.css		.avf-social-item-copy b	font-size	12.5px	13px	74	114
src/css/components/footer.css		.avf-social-item-copy b	line-height	1.2	1.35	74	114
src/css/components/footer.css		.avf-social-item-copy b	font-weight	900	780	74	114
src/css/components/footer.css		.avf-social-item-copy small	display	block	none	75	116
src/css/main/06-favorites.css		.favorite-status-popup	z-index	2147483647	2147483647	49	84
src/css/main/10-responsive-final.css		.share-banner-container	width	100%	100%	2	22
src/css/main/10-responsive-final.css		.share-banner-container	max-width	none	none	2	22
src/css/main/10-responsive-final.css		.share-banner-container	border-bottom	0	0	2	18
src/css/main/10-responsive-final.css		.share-banner-container	border-radius	0	0	2	22
src/css/main/10-responsive-final.css		.share-banner-container::before	border-bottom	0	0	4	19
src/css/main/10-responsive-final.css		.share-banner-section	max-width	1320px	none	5	24
src/css/main/10-responsive-final.css		.share-banner-section	border-radius	0	0	5	24
src/css/main/10-responsive-final.css		.share-com-v-join	position	relative	relative	6	28
src/css/main/10-responsive-final.css		.share-com-v-join	z-index	24	24	6	28
src/css/main/10-responsive-final.css		.share-com-v-join	display	block	block	6	28
src/css/main/10-responsive-final.css		.share-com-v-join	width	100%	100%	6	28
src/css/main/10-responsive-final.css		.share-com-v-join	max-width	none	none	6	28
src/css/main/10-responsive-final.css		.share-com-v-join	height	82px	82px	6	28
src/css/main/10-responsive-final.css		.share-com-v-join	margin	-1px auto -82px	-1px auto -82px	6	28
src/css/main/10-responsive-final.css		.share-com-v-join	overflow	visible	hidden	6	28
src/css/main/10-responsive-final.css		.share-com-v-join	pointer-events	none	none	6	28
src/css/main/10-responsive-final.css		.share-com-v-join svg	display	block	block	7	30
src/css/main/10-responsive-final.css		.share-com-v-join svg	width	100%	100%	7	30
src/css/main/10-responsive-final.css		.share-com-v-join svg	height	100%	100%	7	30
src/css/main/10-responsive-final.css		.share-com-v-join svg	overflow	visible	visible	7	30
src/css/main/10-responsive-final.css		.share-com-v-join svg	filter	drop-shadow(0 14px 20px rgba(0, 0, 0, 0.24))         drop-shadow(0 0 12px rgba(212, 183, 122, 0.045))	drop-shadow(0 14px 20px rgba(0,0,0,.24))       drop-shadow(0 0 12px rgba(212,183,122,.045))	7	30
src/css/main/10-responsive-final.css		.share-com-v-fill	fill	var(--share-join-surface)	#000000	8	31
src/css/main/10-responsive-final.css		.share-com-v-top, .share-com-v-bottom	fill	none	none	9	32
src/css/main/10-responsive-final.css		.share-com-v-top, .share-com-v-bottom	vector-effect	non-scaling-stroke	non-scaling-stroke	9	32
src/css/main/10-responsive-final.css		.share-com-v-top, .share-com-v-bottom	stroke-linecap	round	round	9	32
src/css/main/10-responsive-final.css		.share-com-v-top, .share-com-v-bottom	stroke-linejoin	round	round	9	32
src/css/main/10-responsive-final.css		.share-com-v-top	stroke	url(#shareComJoinGold)	rgba(209,180,106,.52)	10	33
src/css/main/10-responsive-final.css		.share-com-v-top	stroke-width	1.35	1.25	10	33
src/css/main/10-responsive-final.css		.share-com-v-bottom	stroke	url(#shareComJoinTeal)	rgba(118,223,211,.46)	11	34
src/css/main/10-responsive-final.css		.share-com-v-bottom	stroke-width	1	1.05	11	34
src/css/main/10-responsive-final.css		.share-com-v-join	--share-join-surface	#02090c	var(--avf-surface-top, #071b21)	17	28
src/css/trending/03-trending-responsive.css		#trendingMaster .avt-artwork	-webkit-mask-image	url("data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 260 324' preserveAspectRatio='none'%3E%3Cpath d='M20 0H240Q260 0 260 20V304Q260 324 240 324H88Q74 324 74 310V286Q74 272 60 272H20Q0 272 0 252V20Q0 0 20 0Z' fill='white'/%3E%3C/svg%3E")	url("data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 260 324' preserveAspectRatio='none'%3E%3Cpath d='M20 0H240Q260 0 260 20V304Q260 324 240 324H72Q62 324 62 314V291Q62 278 50 278H20Q0 278 0 258V20Q0 0 20 0Z' fill='white'/%3E%3C/svg%3E")	31	69
src/css/trending/03-trending-responsive.css		#trendingMaster .avt-artwork	mask-image	url("data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 260 324' preserveAspectRatio='none'%3E%3Cpath d='M20 0H240Q260 0 260 20V304Q260 324 240 324H88Q74 324 74 310V286Q74 272 60 272H20Q0 272 0 252V20Q0 0 20 0Z' fill='white'/%3E%3C/svg%3E")	url("data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 260 324' preserveAspectRatio='none'%3E%3Cpath d='M20 0H240Q260 0 260 20V304Q260 324 240 324H72Q62 324 62 314V291Q62 278 50 278H20Q0 278 0 258V20Q0 0 20 0Z' fill='white'/%3E%3C/svg%3E")	31	69
src/css/trending/03-trending-responsive.css		#trendingMaster .avt-rank::after	content	""	none	66	68
src/css/trending/04-trending-refinements.css		#trendingMaster .avt-artwork::before	content	""	""	1	12
src/css/trending/04-trending-refinements.css		#trendingMaster .avt-artwork::before	transform	scale(.96)	none	1	12
src/css/trending/04-trending-refinements.css		#trendingMaster .avt-artwork::before	transition	opacity .22s ease, transform .34s cubic-bezier(.22,1,.36,1)	opacity .32s ease	1	12
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	content	""	""	5	91
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	opacity	0	.54	5	91
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::before	transition	box-shadow .3s ease, opacity .3s ease	opacity .28s ease, filter .28s ease	16	71
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair::after	background	transparent	radial-gradient(circle, rgba(125,225,208,.76) 0 1.2px, transparent 1.8px),     radial-gradient(circle, color-mix(in srgb, var(--avt-rank-color) 72%, #d7c995) 0 1px, transparent 1.7px),     radial-gradient(circle, rgba(118,151,198,.55) 0 1.1px, transparent 1.7px),     radial-gradient(circle, rgba(255,255,255,.42) 0 .8px, transparent 1.4px)	18	90
src/css/trending/04-trending-refinements.css		#trendingMaster .avt-title	color	#f2f5f4	#f2f5f4	37	111
src/css/trending/04-trending-refinements.css		#trendingMaster .trending-pair:hover, #trendingMaster .trending-pair:focus-within	border-color	color-mix(in srgb, var(--avt-rank-color) 38%, rgba(111, 183, 173, .28))	color-mix(in srgb, var(--avt-rank-color) 22%, rgba(255,255,255,.045))	38	96
