file	context	selector	property	old_value	final_value	old_rule	final_rule
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	z-index	4	12	1	31
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin	-2px auto 0	18px auto -90px	1	40
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin	8px auto -90px	18px auto -90px	31	40
src/css/banner/03-banner-transition.css	@media (max-width: 990px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	height	68px	76px	20	26
src/css/banner/03-banner-transition.css	@media (max-width: 990px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin-bottom	-68px	-76px	20	43
src/css/banner/03-banner-transition.css	@media (max-width: 620px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	height	54px	60px	21	27
src/css/banner/03-banner-transition.css	@media (max-width: 620px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin-bottom	-54px	-60px	21	46
src/css/banner/03-banner-transition.css	@media (max-width: 990px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin-top	6px	14px	33	43
src/css/banner/03-banner-transition.css	@media (max-width: 620px)	.banner-trending-join:not(#__av_prio_a#__av_prio_b)	margin-top	4px	10px	34	46
src/css/banner/04-banner-color-merge.css		body .banner-slider:not(#__av_prio_a#__av_prio_b)	margin-bottom	-24px	-10px	1	9
src/css/banner/04-banner-color-merge.css	@media (max-width: 640px)	body .banner-slider:not(#__av_prio_a#__av_prio_b)	margin-bottom	-10px	-4px	6	12
src/css/banner/04-banner-color-merge.css	@media (max-width: 1279px)	body .banner-wrap:not(#__av_prio_a#__av_prio_b)	padding-top	24px	88px	11	27
src/css/banner/04-banner-color-merge.css	@media (max-width: 640px)	body .banner-wrap:not(#__av_prio_a#__av_prio_b)	padding-top	16px	82px	13	28
src/css/banner/04-banner-color-merge.css	@media (max-width: 1279px)	body .banner-right:not(#__av_prio_a#__av_prio_b)	padding-top	40px	54px	16	22
src/css/banner/04-banner-color-merge.css	@media (max-width: 640px)	body .banner-right:not(#__av_prio_a#__av_prio_b)	padding-top	26px	32px	18	24
src/css/banner/05-banner-final.css		body .page:not(#__av_prio_a#__av_prio_b)::after	top	-16px	calc(var(--av-equal-gap) * -1)	1	9
src/css/banner/05-banner-final.css		body .page:not(#__av_prio_a#__av_prio_b)::after	height	16px	var(--av-equal-gap)	1	9
src/css/banner/05-banner-final.css		body .page:not(#__av_prio_a#__av_prio_b)::before	inset	-16px 0 0 0	0 0 0 0	2	18
src/css/banner/05-banner-final.css		body .page:not(#__av_prio_a#__av_prio_b)::before	inset	calc(var(--av-equal-gap) * -1) 0 0 0	0 0 0 0	10	18
src/css/com/01-comments-core.css		.av10-avatar	width	50px	56px	43	99
src/css/com/01-comments-core.css		.av10-avatar	height	50px	56px	43	99
src/css/com/02-comments-layout.css		.av10-name	font-size	12.5px	14px	11	63
src/css/com/02-comments-layout.css		.av10-name	font-size	14.5px	14px	26	63
src/css/com/02-comments-layout.css		.av10-name	line-height	1.1	1.08	11	63
src/css/com/02-comments-layout.css		.av10-series	padding	6px 10px 6px 13px	8px 8px 8px 12px	14	67
src/css/com/02-comments-layout.css		.av10-series	padding	7px 8px 7px 12px	8px 8px 8px 12px	29	67
src/css/com/02-comments-layout.css		.av10-series-copy small	font-size	6.8px	7px	15	68
src/css/com/02-comments-layout.css		.av10-series-copy small	font-size	7.2px	7px	32	68
src/css/com/02-comments-layout.css		.av10-series-copy strong	font-size	9.8px	10.5px	16	69
src/css/com/02-comments-layout.css		.av10-series-copy strong	font-size	10.8px	10.5px	33	69
src/css/com/02-comments-layout.css		.av10-series-copy strong	line-height	1.15	1.08	16	33
src/css/com/02-comments-layout.css		.av10-body	padding	16px 13px 13px	15px 13px 13px	18	71
src/css/com/02-comments-layout.css		.av10-text	line-height	1.58	1.55	19	72
src/css/com/02-comments-layout.css		.av10-text	line-height	1.57	1.55	37	72
src/css/com/02-comments-layout.css		.av10-reactions	height	40px	41px	21	39
src/css/com/02-comments-layout.css		.av10-time	font-size	9px	8.8px	27	64
src/css/com/02-comments-layout.css		.av10-series	border-radius	12px	11px	29	67
src/css/com/02-comments-layout.css		.av10-text	letter-spacing	-0.012em	-0.01em	37	72
src/css/com/02-comments-layout.css		.av10-reactions	padding	0	3px	39	75
src/css/com/02-comments-layout.css		.av10-reaction	gap	6px	5px	40	77
src/css/com/02-comments-layout.css		.av10-reaction	padding	0 7px	0 5px	40	77
src/css/com/02-comments-layout.css		.av10-reaction svg	width	13.5px	13px	41	79
src/css/com/02-comments-layout.css		.av10-reaction svg	height	13.5px	13px	41	79
src/css/com/02-comments-layout.css		.av10-reaction svg	padding	3.5px	2.5px	41	79
src/css/com/02-comments-layout.css		.av10-reaction span	min-width	10px	9px	42	80
src/css/com/02-comments-layout.css		.av10-reaction span	font-size	9.8px	9.3px	42	80
src/css/com/03-comments-refinement.css		.av10-time	margin-top	5px	4px	11	117
src/css/com/03-comments-refinement.css		.av10-time	margin-top	3px	4px	112	117
src/css/com/03-comments-refinement.css		.av10-time	font-size	9.2px	10.2px	11	117
src/css/com/03-comments-refinement.css		.av10-time	font-weight	680	700	11	117
src/css/com/03-comments-refinement.css		.av10-series-copy small	font-size	7.3px	8.5px	14	88
src/css/com/03-comments-refinement.css		.av10-series-copy small	font-size	6.9px	8.5px	47	88
src/css/com/03-comments-refinement.css		.av10-series-copy small	font-size	6.6px	8.5px	59	88
src/css/com/03-comments-refinement.css		.av10-series-copy small	font-weight	850	840	14	47
src/css/com/03-comments-refinement.css		.av10-series-copy small	line-height	1.05	1	14	47
src/css/com/03-comments-refinement.css		.av10-series-copy strong	margin-top	6px	4px	15	60
src/css/com/03-comments-refinement.css		.av10-series-copy strong	margin-top	5px	4px	48	60
src/css/com/03-comments-refinement.css		.av10-series-copy strong	font-size	11.7px	12.2px	15	89
src/css/com/03-comments-refinement.css		.av10-series-copy strong	font-size	11.9px	12.2px	48	89
src/css/com/03-comments-refinement.css		.av10-series-copy strong	font-size	11.3px	12.2px	60	89
src/css/com/03-comments-refinement.css		.av10-series-copy strong	line-height	1.14	1.12	15	89
src/css/com/03-comments-refinement.css		.av10-series-copy strong	line-height	1.1	1.12	60	89
