file	context	selector	property	old_value	final_value	old_rule	final_rule
src/css/banner/04-banner-color-merge.css		body .banner-slider:not(#__av_prio_a#__av_prio_b)	transform	translateY(-24px)	translateY(-10px)	1	9
src/css/banner/04-banner-color-merge.css	@media (max-width: 640px)	body .banner-slider:not(#__av_prio_a#__av_prio_b)	transform	translateY(-10px)	translateY(-4px)	6	12
src/css/banner/04-banner-color-merge.css		body .image-group:not(#__av_prio_a#__av_prio_b)	transform	translateY(26px)	translateY(54px)	15	21
src/css/banner/04-banner-color-merge.css	@media (max-width: 1279px)	body .image-group:not(#__av_prio_a#__av_prio_b)	transform	translateY(18px)	translateY(34px)	17	23
src/css/banner/04-banner-color-merge.css	@media (max-width: 640px)	body .image-group:not(#__av_prio_a#__av_prio_b)	transform	translateY(10px)	translateY(18px)	19	25
src/css/com/02-comments-layout.css		.av10-reactions	border	0	1px solid rgba(145, 210, 204, 0.10)	39	75
src/css/com/02-comments-layout.css		.av10-reactions	box-shadow	none	inset 0 1px rgba(255,255,255,.025)	39	75
src/css/com/03-comments-refinement.css		.av10-identity	transform	none	translateY(-13px)	9	110
src/css/com/06-comments-art.css		.av10-series-meta:not(#__av_prio_a#__av_prio_b)	color	color-mix(in srgb, var(--accent) 42%, #cfe8e6)	color-mix(in srgb, var(--accent) 58%, #d9efeb)	30	43
src/css/com/06-comments-art.css		.av10-series-meta:not(#__av_prio_a#__av_prio_b)	opacity	0.96	0.98	30	43
src/css/components/UPC.css		.carousel-collection .card-title	color	#f1feff	#ffffff	57	79
src/css/components/UPC.css		.carousel-collection .card-back-meta-label	color	rgba(191,248,255,.48)	rgba(170, 226, 233, .58)	65	85
src/css/components/UPC.css		.carousel-collection .card-back-meta-value	color	rgba(238,254,255,.86)	#f7ffff	66	86
src/css/components/UPC.css		.carousel-collection .card-desc	color	rgba(225,247,250,.70)	rgba(230, 248, 250, .76)	67	89
src/css/components/UPC.css		.carousel-collection .card-back-btn	color	#aefcff	#fff	68	91
src/css/components/UPC.css		.carousel-collection .card-back-btn	text-transform	uppercase	none	68	91
src/css/components/footer.css		.avf-brand-copy span	color	#62868e	#739aa2	13	133
src/css/components/footer.css		.avf-bottom p	color	#6c8c93	#6e9097	33	73
src/css/components/footer.css		.avf-bottom strong	color	#8eb7be	#c9eef2	34	74
src/css/components/footer.css		.avf-social-item	transition	transform .2s ease,     border-color .2s ease,     background .2s ease,     box-shadow .2s ease	color .18s ease, transform .18s ease	63	98
src/css/components/footer.css		.avf-social-item:hover:not(#__av_prio_a#__av_prio_b)	transform	translateY(-2px)	translateX(3px)	66	100
src/css/components/footer.css		.avf-social-item-icon	transition	transform .2s ease, filter .2s ease	color .18s ease, border-color .18s ease, background .18s ease	67	101
src/css/main/01-foundation.css		.buttons button, .logout	animation	buttonIdle 6s ease-in-out infinite	softBreath 5s ease-in-out infinite	47	49
src/css/main/01-foundation.css		.buttons button, .logout	animation	buttonIdle 6s ease-in-out infinite,     subtleFloat 6s ease-in-out infinite	softBreath 5s ease-in-out infinite	48	49
