file	rule_selector	dropped_branch	missing_classes	missing_ids	action
src/css/main/01-foundation.css	.welcome-message	.welcome-message	welcome-message		drop-rule
src/css/main/01-foundation.css	.profile-section	.profile-section	profile-section		drop-rule
src/css/main/01-foundation.css	.profile-pic	.profile-pic	profile-pic		drop-rule
src/css/main/01-foundation.css	.custom-icon	.custom-icon	custom-icon		drop-rule
src/css/main/01-foundation.css	.horizontal-info	.horizontal-info	horizontal-info		drop-rule
src/css/main/01-foundation.css	.info-item	.info-item	info-item		drop-rule
src/css/main/01-foundation.css	.info-dot	.info-dot	info-dot		drop-rule
src/css/main/01-foundation.css	.info-dot:hover	.info-dot:hover	info-dot		drop-rule
src/css/main/01-foundation.css	.info-totip	.info-totip	info-totip		drop-rule
src/css/main/01-foundation.css	.info-totip::after	.info-totip::after	info-totip		drop-rule
src/css/main/01-foundation.css	.info-dot:hover .info-totip	.info-dot:hover .info-totip	info-dot,info-totip		drop-rule
src/css/main/01-foundation.css	.info-dot img	.info-dot img	info-dot		drop-rule
src/css/main/01-foundation.css	.c-1 .info-dot	.c-1 .info-dot	c-1,info-dot		drop-rule
src/css/main/01-foundation.css	.c-2 .info-dot	.c-2 .info-dot	c-2,info-dot		drop-rule
src/css/main/01-foundation.css	.c-3 .info-dot	.c-3 .info-dot	c-3,info-dot		drop-rule
src/css/main/01-foundation.css	.level-container	.level-container	level-container		drop-rule
src/css/main/01-foundation.css	.level-bar	.level-bar	level-bar		drop-rule
src/css/main/01-foundation.css	.level-text	.level-text	level-text		drop-rule
src/css/main/01-foundation.css	.buttons	.buttons	buttons		drop-rule
src/css/main/01-foundation.css	.buttons button, .logout	.buttons button	buttons		drop-branch
src/css/main/01-foundation.css	.buttons button::before, .logout::before	.buttons button::before	buttons		drop-branch
src/css/main/01-foundation.css	.buttons button:hover::before, .logout:hover::before	.buttons button:hover::before	buttons		drop-branch
src/css/main/01-foundation.css	.buttons button:hover, .logout:hover	.buttons button:hover	buttons		drop-branch
src/css/main/01-foundation.css	.buttons button, .logout	.buttons button	buttons		drop-branch
src/css/main/01-foundation.css	.buttons button, .logout	.buttons button	buttons		drop-branch
src/css/main/01-foundation.css	.buttons button, .logout	.buttons button	buttons		drop-branch
src/css/main/01-foundation.css	.buttons button::after, .logout::after	.buttons button::after	buttons		drop-branch
src/css/main/01-foundation.css	.buttons button:hover::after, .logout:hover::after	.buttons button:hover::after	buttons		drop-branch
src/css/main/01-foundation.css	.buttons button:hover, .logout:hover	.buttons button:hover	buttons		drop-branch
src/css/main/01-foundation.css	.notification-bell	.notification-bell	notification-bell		drop-rule
src/css/main/01-foundation.css	.bell-icon-btn	.bell-icon-btn	bell-icon-btn		drop-rule
src/css/main/01-foundation.css	.favorite-series	.favorite-series	favorite-series		drop-rule
src/css/main/01-foundation.css	.favorite-title	.favorite-title	favorite-title		drop-rule
src/css/main/01-foundation.css	.favorite-list	.favorite-list	favorite-list		drop-rule
