file	rule_selector	dropped_branch	missing_classes	missing_ids	action
src/css/banner/02-banner-layout.css	.banner-trending-join-fill	.banner-trending-join-fill	banner-trending-join-fill		drop-rule
src/css/banner/02-banner-layout.css	.banner-trending-join-fill:not(#__av_prio_a#__av_prio_b)	.banner-trending-join-fill:not(#__av_prio_a#__av_prio_b)	banner-trending-join-fill		drop-rule
src/css/banner/03-banner-transition.css	.banner-trending-join-topfill	.banner-trending-join-topfill	banner-trending-join-topfill		drop-rule
src/css/banner/03-banner-transition.css	.banner-trending-join-fill:not(#__av_prio_a#__av_prio_b)	.banner-trending-join-fill:not(#__av_prio_a#__av_prio_b)	banner-trending-join-fill		drop-rule
src/css/banner/04-banner-color-merge.css	body .banner-trending-join-fill:not(#__av_prio_a#__av_prio_b), body .banner-trending-join-topfill:not(#__av_prio_a#__av_prio_b)	body .banner-trending-join-fill:not(#__av_prio_a#__av_prio_b)	banner-trending-join-fill		drop-rule
src/css/banner/04-banner-color-merge.css	body .banner-trending-join-fill:not(#__av_prio_a#__av_prio_b), body .banner-trending-join-topfill:not(#__av_prio_a#__av_prio_b)	body .banner-trending-join-topfill:not(#__av_prio_a#__av_prio_b)	banner-trending-join-topfill		drop-rule
src/css/components/UPC.css	.carousel-collection .vezi-tot:not(#__av_prio_a#__av_prio_b)	.carousel-collection .vezi-tot:not(#__av_prio_a#__av_prio_b)	vezi-tot		drop-rule
src/css/components/UPC.css	.carousel-collection .card-front-ring	.carousel-collection .card-front-ring	card-front-ring		drop-rule
src/css/components/UPC.css	.carousel-collection .av-card-back-kicker	.carousel-collection .av-card-back-kicker	av-card-back-kicker		drop-rule
src/css/components/UPC.css	.carousel-collection .av-card-back-kicker .av-back-type	.carousel-collection .av-card-back-kicker .av-back-type	av-card-back-kicker,av-back-type		drop-rule
src/css/components/UPC.css	.carousel-collection .av-card-back-kicker .av-back-status	.carousel-collection .av-card-back-kicker .av-back-status	av-card-back-kicker,av-back-status		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-sheet	.carousel-collection .av-back-sheet	av-back-sheet		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-head	.carousel-collection .av-back-head	av-back-head		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-topline	.carousel-collection .av-back-topline	av-back-topline		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-topline i	.carousel-collection .av-back-topline i	av-back-topline		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-rating	.carousel-collection .av-back-rating	av-back-rating		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-name	.carousel-collection .av-back-name	av-back-name		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-trio	.carousel-collection .av-back-trio	av-back-trio		drop-rule
src/css/components/UPC.css	.carousel-collection .av-back-stat	.carousel-collection .av-back-stat	av-back-stat		drop-rule
