file	selector	properties_migrated
src/css/banner/02-banner-layout.css	.page	background,border-radius
src/css/banner/02-banner-layout.css	".banner-wrap,
.banner-slider"	border-radius
src/css/banner/02-banner-layout.css	".banner,
.banner.active"	border-radius,overflow
src/css/banner/02-banner-layout.css	.image-card	border-radius,overflow
src/css/banner/02-banner-layout.css	.page	position,overflow,background
src/css/banner/02-banner-layout.css	.banner-wrap	width,max-width,margin,padding
src/css/banner/02-banner-layout.css	.banner-wrap	width,max-width,padding
src/css/banner/02-banner-layout.css	.banner	min-height
src/css/banner/02-banner-layout.css	.banner-grid	min-height,align-items
src/css/banner/02-banner-layout.css	.banner-left	padding
src/css/banner/02-banner-layout.css	.left-inner	max-width
src/css/banner/02-banner-layout.css	.top-badge	bottom,margin-bottom
src/css/banner/02-banner-layout.css	.title-row	margin-bottom
src/css/banner/02-banner-layout.css	.title-text	font-size,bottom
src/css/banner/02-banner-layout.css	.genre-row	margin-bottom,font-size,bottom
src/css/banner/02-banner-layout.css	.meta-grid	margin-bottom,gap
src/css/banner/02-banner-layout.css	".meta-item,
.meta-item.meta-big"	min-height
src/css/banner/02-banner-layout.css	.description	max-width,font-size,line-height,-webkit-line-clamp,line-clamp
src/css/banner/02-banner-layout.css	.button-row	margin-top
src/css/banner/02-banner-layout.css	.btn	padding,font-size
src/css/banner/02-banner-layout.css	.banner-right	padding
src/css/banner/02-banner-layout.css	.image-group	max-width,left,bottom
src/css/banner/02-banner-layout.css	.image-card	height,min-height
src/css/banner/02-banner-layout.css	.hero-image	height
src/css/banner/02-banner-layout.css	.thumb-box	bottom,left
src/css/banner/02-banner-layout.css	.thumb-box img	width,height
src/css/banner/02-banner-layout.css	.slider-row	bottom
src/css/banner/02-banner-layout.css	.banner-grid	min-height
src/css/banner/02-banner-layout.css	".banner-left,
  .banner-right"	padding
src/css/banner/02-banner-layout.css	.banner-right	padding-bottom
src/css/banner/02-banner-layout.css	".image-group,
  .image-card,
  .hero-image"	height,min-height
src/css/banner/02-banner-layout.css	.hero-image	width,height
src/css/banner/02-banner-layout.css	.banner-wrap	width,padding
src/css/banner/02-banner-layout.css	".banner-left,
  .banner-right"	padding
src/css/banner/02-banner-layout.css	.hero-image	height
src/css/banner/02-banner-layout.css	.description	font-size,line-height
src/css/banner/02-banner-layout.css	.button-row	margin-top
src/css/banner/02-banner-layout.css	.page	box-sizing,position,isolation,width,max-width,min-width,margin-left,margin-right,overflow,border-radius
src/css/banner/02-banner-layout.css	.banner-wrap	box-sizing,width,max-width,margin,padding
src/css/banner/02-banner-layout.css	".page::before,
.page::after"	border-radius
src/css/banner/02-banner-layout.css	.page	width,max-width
src/css/banner/02-banner-layout.css	.page	width,min-width
src/css/banner/02-banner-layout.css	.banner-wrap	width,padding-inline
src/css/banner/02-banner-layout.css	body .page	padding-bottom
src/css/banner/02-banner-layout.css	body .banner-trending-join + #trendingMaster	margin-top
src/css/banner/02-banner-layout.css	body .page	position,z-index,padding-bottom,margin-bottom
src/css/banner/02-banner-layout.css	body .banner-wrap	padding-bottom
src/css/banner/02-banner-layout.css	.banner-trending-join	z-index,width,max-width,min-width,height,margin,background,overflow
src/css/banner/02-banner-layout.css	.banner-trending-join::before	inset,opacity
src/css/banner/02-banner-layout.css	.banner-trending-join svg	overflow
src/css/banner/02-banner-layout.css	.banner-trending-join-fill	fill
src/css/banner/02-banner-layout.css	.banner-trending-join-gold	stroke-width
src/css/banner/02-banner-layout.css	.banner-trending-join-teal	stroke-width,opacity
src/css/banner/02-banner-layout.css	#trendingMaster	margin-top,padding-top,border-top,box-shadow
src/css/banner/02-banner-layout.css	#trendingMaster::before	inset
src/css/banner/02-banner-layout.css	.banner-trending-join	min-width,height,margin
src/css/banner/02-banner-layout.css	#trendingMaster	padding-top
src/css/banner/03-banner-transition.css	body .banner-wrap	padding-bottom
src/css/banner/03-banner-transition.css	.banner-trending-join	position,z-index,width,max-width,min-width,height,margin,overflow,pointer-events,background,isolation
src/css/banner/03-banner-transition.css	#trendingMaster	margin-top,border-top,padding-top
src/css/banner/03-banner-transition.css	#trendingMaster::before	inset
src/css/banner/03-banner-transition.css	.banner-trending-join	min-width,height
src/css/banner/03-banner-transition.css	.banner-trending-join::before	inset
src/css/banner/03-banner-transition.css	.banner-trending-join	--banner-trending-join-surface,position,z-index,display,width,max-width,min-width,height,margin,overflow,pointer-events,background,isolation
src/css/banner/03-banner-transition.css	.banner-trending-join::before	content,position,inset,z-index,pointer-events,opacity,background-image,background-size,background-repeat,animation
src/css/banner/03-banner-transition.css	.banner-trending-join svg	position,z-index,display,width,height,overflow,filter
src/css/banner/03-banner-transition.css	.banner-trending-join-fill	fill
src/css/banner/03-banner-transition.css	".banner-trending-join-gold,
.banner-trending-join-teal"	display,fill,vector-effect,stroke-linecap,stroke-linejoin
src/css/banner/03-banner-transition.css	.banner-trending-join-gold	stroke,stroke-width
