image	width	height	original_bytes	600w_bytes	900w_bytes	mobile_saving_pct
bleach.webp	1200	600	166562	36518	67894	78.1
d.gray man.webp	1200	600	150912	26132	48670	82.7
dragon ball.webp	1200	600	244262	62974	109860	74.2
fairy tail.webp	1200	600	223798	54140	97372	75.8
gintama.webp	1200	600	194656	46706	83106	76.0
hajime no ippo.webp	1200	600	172284	41330	69450	76.0
hxh.webp	1200	600	193760	48342	86078	75.1
inuyasha.webp	1200	600	204702	51108	87012	75.0
naruto.webp	1200	600	215870	50448	84400	76.6
one piece.webp	1200	600	239486	65976	119394	72.5
